gene_name,gene_id
FBXO21,NA
FBXO39,NA
FBXW11,NA
Fcer1g,NA
FCER1G,NA
FCN2,NA
FDPS,NA
FER1L3,NA
FEZ1,NA
FGF13,ncbi_414831
FGF14,ncbi_395554
FGF2,NA
FGF3,NA
FGFBP2,NA
FGFRL1,ncbi_395107
FGG,NA
FGL2,ncbi_768821
FHIT,NA
FILIP1L,ncbi_769163
FKBP1B,NA
FKBP4,NA
FKBP5,NA
FKBP6,ncbi_417460
FLNB,ncbi_378913
FLT1,NA
FLT4,ncbi_395742
FMO3,ncbi_395267
FMR1,ncbi_422395
FN1,NA
FNBP4,NA
FNDC3A,ncbi_418863
FNDC3B,NA
FNDC4,NA
FOS,ncbi_396512
FOXA2,NA
FOXF1,NA
FOXG1,NA
FOXL1,ncbi_768576
FOXS1,ncbi_428156
FSD1L,ncbi_427302
FSHR,ncbi_395962
FST,NA
FTH1,NA
FUBP1,NA
FUT10,ncbi_395073
FXR1,NA
G0S2,NA
GABARAPL3,NA
GABRA2,ncbi_770511
GABRA3,NA
GADD45A,NA
GADD45B,NA
GAK,NA
GAL3ST1,NA
GALNT1,NA
GALNT2,NA
GAPDH,NA
GARS,NA
GATA3,ncbi_419106
GATA6,NA
GBE,ncbi_417972
GBP,ncbi_395366
GBP1,ncbi_419563
GBP4L,ncbi_415922
GBP6,NA
GCG,NA
GCH1,ncbi_396146
GCK,NA
GCLC,NA
GCLM,NA
GCSH,NA
GDF5,NA
GDPD4,ncbi_419084
GDPD5,ncbi_419070
GEM,NA
GEMIN8,NA
GFPT2,ncbi_426962
GGA1,NA
GGT5,ncbi_416943
GHSR,ncbi_378911
GIMAP7L2,ncbi_101747807
GIMAP7L5,ncbi_101751647
GIMAP8L1,ncbi_101751764
GINS1,NA
GJA4,NA
GK,NA
GLCCI1,ncbi_420580
GLG1,NA
GLI1,NA
GLI2,NA
GLIPR1,NA
GLMN,NA
GLO1,NA
GLRX,NA
GLT1D1,ncbi_416807
GLUD1,NA
GLUL,NA
GMFB,NA
GMPR,NA
GNA13,NA
GNAI1,NA
GNAZ,NA
GNB1,NA
GNG10,NA
GNGT2,ncbi_100859179
GNL2,NA
GOLGA3,NA
GOLGA7,NA
GP1BA,ncbi_100857333
GP5,ncbi_100857508
GPER1,ncbi_416457
GPI,NA
GPR133,NA
GPR22,ncbi_769379
GPR37,NA
GPS1,NA
GRB2,NA
GRIN2B,ncbi_417965
GRM8,NA
GSTO1,NA
GSTZ1,NA
GTF2H1,NA
GTPBP1,NA
GTPBP2,NA
GUSB,NA
GYG1,NA
GYS2,NA
H3F3B,NA
HADH,NA
HADHA,NA
HADHB,NA
HBE1,NA
HBEGF,NA
HCRT,NA
HDAC1,NA
HDC,NA
HDHD1A,NA
HDLBP,NA
HEATR7B2L1,ncbi_768434
HEG1,NA
HELB,ncbi_417836
HELZ2,ncbi_419265
HERC4L,ncbi_422513
HERPUD1,ncbi_415644
HESX1,NA
HEXB,NA
HEY1,NA
HIC1,NA
HIF1A,NA
HIRA,NA
HIST1H2B7,ncbi_417956
HIST2H2AC,NA
HIST2H3L,ncbi_769852
HK1,NA
HK2,NA
HLA-F10AL4,ncbi_100859134
HMGA1,NA
HMGA2,NA
HMGB1,NA
HMGB2,NA
HMGCR,NA
HMGN1,NA
HMGN2,NA
HMGN3,NA
HMMR,NA
HMOX1,NA
HNF1A,NA
HNMT,NA
HNRNPA2B1,NA
HNRNPU,NA
HNRPK,NA
HOPX,NA
HOXA4,NA
HOXB7,NA
HOXC4,ncbi_107055411
HPRT1,NA
HPS5,ncbi_423079
HPSE,NA
HRASLS,ncbi_424903
HSD11B1,NA
HSF1,NA
HSP90AA1,NA
HSPA4,NA
HSPA8,ncbi_395853
HSPB2,NA
HSPD1,NA
HSPE1,NA
HTD2,ncbi_112533344
HTR2A,ncbi_428070
HTR2C,ncbi_428707
HTRA3,ncbi_422868
HYAL3,ncbi_100859903
HYOU1,NA
IAP,NA
IAPP,NA
IARS,NA
ID1,ncbi_395282
ID2,ncbi_395852
ID3,ncbi_395281
Idh2,NA
IDI1,NA
IFI27L2,ncbi_403121
IFI35,ncbi_420011
IFI6,ncbi_403120
IFIH1,ncbi_424185
IFIT5,ncbi_423790
IFITM3,ncbi_770612
IFITM5,ncbi_422992
IFNA3,ncbi_396398
IFNAL1,ncbi_100859414
IFNAR1,NA
IFNAR2,NA
IFNG,NA
IFNGR1,NA
IFNGR2,NA
IFRD1,NA
IGF2,ncbi_395097
IGF2BP2,ncbi_424865
IGFBP2,NA
IGFBP3,NA
IGFBP4,NA
IGFBP5,ncbi_424220
IGHMBP2,NA
IKZF3,NA
IL10,NA
IL10RB,NA
IL12A,NA
IL12RB2,NA
IL13,NA
IL13RA1,ncbi_422230
IL15,ncbi_395258
IL15RA,ncbi_416686
IL16,NA
IL17RA,NA
IL18,NA
IL1B,NA
IL1R2,NA
IL1RL1,NA
IL20RA,NA
IL22,NA
IL23R,XLOC_009995
IL28RA,NA
IL2RA,NA
IL3,NA
IL4,NA
IL4I1,ncbi_417039
IL5,NA
IL6,NA
IL6ST,NA
IL7,ncbi_420193
IL7R,ncbi_426054
IL8,NA
IL8L2,ncbi_396495
IL8RB,NA
ILK,NA
INHBA,ncbi_396361
INOC1,NA
INPP4B,NA
INPP5A,NA
INPP5D,NA
INPP5E,NA
INSM2,ncbi_107053590
IP6K2,NA
IQGAP1,NA
IQSEC3,ncbi_418146
IRF1,ncbi_396384
IRF2,NA
IRF4,NA
IRF5,NA
IRF7,ncbi_396330
IRF8,ncbi_396385
IRF9,ncbi_395243
ISG12-2,NA
ISG20L1,NA
ISG20L2,NA
ISL2,ncbi_396382
ITGA3,NA
ITGAV,NA
ITGB1,NA
